673247,446333,16000,1
470708,311121,16500,2
673247,311121,16500,25
253207,663212,16495,5
245320,314720,16490,5
253206,663212,16495,25
727205,906202,16490,100
612024,779170,16100,250
612397,779170,16230,250
727205,779170,16200,25
779020,779170,16250,125
727205,446227,16400,50
612215,446227,16400,10
200120,446227,16400,25
141029,446227,16400,100
779160,446227,16400,200
636210,182207,16350,50
291149,498235,16380,25
291149,612752,16400,5
291149,446227,16400,5
310200,121221,16450,10
328205,320700,16470,10
310200,612755,16450,50
446333,320700,16470,1
350020,446333,16500,1
779170,498226,16495,89
779170,311121,16500,8
779170,697072,16500,30
779170,663221,16495,100
779170,498226,16495,50
779100,446333,16500,1
779170,320700,16470,8
779170,328249,16500,20
779170,320700,16500,1
779170,612811,16485,5
779170,446205,16495,96
779020,697072,16500,4
779020,910260,164100,50
481203,952210,16470,50
906202,235250,16500,50
906202,420160,16500,20
253225,314720,16590,5
253225,314720,16590,20
253225,311120,16500,75
692215,446223,16590,25
692215,446223,16590,25
906202,311120,16590,25
779020,311120,16500,30
636202,952214,16500,10
153003,952214,16500,250
779018,952214,16500,200
310200,952214,16500,5
330020,890240,16590,10
779160,952214,16500,200
446320,952214,16505,130
910251,890240,16585,50
189201,307121,16600,10
910261,311820,16600,50
779170,890240,16585,20
779170,301521,16600,50
779170,311820,16600,25
779170,890240,16585,50
779170,890240,16585,50
779170,311120,16600,100
779170,314720,16600,10
779170,636057,16600,10
779170,890240,16590,100
779170,890240,16600,85
253217,481203,16600,15
253217,779160,16600,35
601014,779160,16600,100
253206,779160,16600,50
892070,184202,16590,75
892070,362190,16590,25
446333,362190,16590,2
456210,362190,16590,25
636210,612023,16580,500
636210,779170,16580,450
612208,612023,16580,25
612208,272310,16510,25
189211,612023,16580,10
272020,446320,16500,100
446228,446320,16500,30
446228,310200,16500,70
310200,952214,16500,130
310200,310200,16500,270
481203,362110,16470,50
470229,446333,16490,200
470229,952214,16500,200
470229,362110,16470,100
320100,612551,16470,5
189205,612551,16470,100
612023,943217,16400,95
446201,943217,16400,5
640520,792203,16400,1
446333,792203,16400,1
779170,792203,16400,1
