,Aarti Drugs,Aarti Industries,ABB,Abbott India,ACC,Accelya Kale Solutions Ltd,Adani Ports and Special Economic Zone,Adani Power,Adani Transmission,Aditya Birla Fashion and Retail,Aditya Birla Nuvo,Adlabs Entertainment,Ador Fontech,Ador Welding,Aegis Logistics,Agro Tech Foods,Ahluwalia Contracts,AIA Engineering,Ajanta Pharma,Akzo Nobel India,Alembic Pharmaceuticals,Alkem Laboratories,Allcargo Logistics,Alphabet Inc Class C,Amara Raja Batteries,Amazon. com Inc. (USA),Ambuja Cements,American Express Company,Amerisource Bergen Corp,Ampersand Software,Amrutanjan Health Care,Amulya Leasing and Fin.,Apar Industries,APL Apollo Tubes,Apollo Hospitals,Apollo Tyres,Apple Inc. (USA),Aramex PJSC,Arvind,Ashapura Intimates Fashion,Ashok Leyland,Ashoka Buildcon,Asian Paints,Astra Microwave Products,Astral Poly Technik,Astrazeneca Pharma India,Atul Auto,Atul Ltd,Aurobindo Pharma,Automotive Axles,Avanti Feeds,Axis Bank,Bajaj Auto,Bajaj Corp Ltd.,Bajaj Electricals,Bajaj Finance,Bajaj Finserv,Bajaj Holdings and Inv,Balkrishna Inds.,Balrampur Chini Mills,Bank of Baroda,Bank of India,Bata India,Bayer CropScience,BEML,Berger Paints India,BF Investments,Bharat Electronics,Bharat Financial Inclusion,Bharat Forge,Bharti Airtel Ltd,Bharti Infratel Ltd,BHEL,Biocon,Biostime International Holdings,Birla Corporation,Blue Dart Express,Blue Star,Bombay Burmah,Bosch,BPCL,Brigade Enterprises,Brillio Technologies,Britannia Inds.,BSE,Cadila Healthcare,Cairn India,Camlin Fine Sciences Ltd,Canara Bank,Capital First,Carborundum Universal,Castrol India Ltd,CBLO,CBRE Group Inc - A,CCL Products (I),Ceat,Centum Electronics,Century Plyboards (India),Century Textiles and Inds.,Cera Sanitaryware,CESC,Chambal Fertilisers and Chem.,Chennai Petroleum Corp.,Cholamandalam Invest. and Fin.,Cipla,City Online Services,City Union Bank,Clariant Chemicals,Coal India,Cognizant Technology Solutions Corp.,Colgate Palmolive (India) Ltd,Container Corp.,Coromandel International,Cosco Pacific (Hong Kong),Credit Analysis and Research,CRISIL,Crompton Greaves,Crompton Greaves Consumer Electricals,CSX Corporation (US),Cummins India Ltd,Cyient,D B Corp Ltd,Dabur India,Dalmia Bharat,DB Corporation,DCB Bank,DCM Shriram,Deccan Cements,Dewan Housing Fin. Corpn.,Dhampur Sugar Mills,Dhanuka Agritech,Dhunseri Tea and Industries,Dilip Buildcon,Dish TV India,Dishman Pharma and Chem,Divi`s Laboratories,DLF,Dr. Lal Pathlabs,Dr. Reddy`s Lab,Eastspring Investment Asia Equ,eClerx Services,Edelweiss Financial Services,Eicher Motors,EID-Parry (I),EIH,Elantas Beck India,Elgi Equipments,Eli Lilly,Emami,Emerson Electric,Endurance Technologies,Engineers India,Entertainment Network,Equitas Holdings,Escorts,Eveready Industries (I),Everest Industries,Everest Industries Ltd,Exide Inds.,FAG Bearings India,Fairchem Speciality,Federal Bank,Federal Mogul Goetze,Finolex Cables,Finolex Inds.,Firstsource Solutions,Franklin Technology Fund,Future Consumer Enterprise,Future Lifestyle Fashion,Future Retail,Gabriel India,Gabriel India Ltd,GAIL,Ganesha Ecosphere,Ganesha Ecosphere Ltd,Gateway Distriparks,GE Power India,GE TandD (I),Geometric,GHCL,GIC Housing Fin.,Gilead Sciences Inc. (USA),Glaxo Consumer Healthcare,Glaxosmithkline Pharma,Glenmark Pharma.,GMDC,GNFC,Godrej Consumer Products,Godrej Industries Ltd,Godrej Properties,Goodyear India,Granules India,Graphite India,Grasim Industries,Great Eastern Shipping Co.,Greaves Cotton,Greenply Inds.,Grindwell Norton,Gruh Finance,GSFC,Gujarat Fluorochemicals,Gujarat Gas,Gujarat Industries Power,Gujarat Pipavav Port,Gujarat State Petronet,Gulf Oil Lubricants India,GVK Power and Infrastructure,Hathway Cable and Datacom,Havells India,Hawkins Cookers,HCL Technologies,HDFC,HDFC Bank,Healthcare Global Enterprises,Heidelberg Cement India,Heritage Foods,Hero Motocorp,Hester Biosciences Ltd,Hexaware Technologies,Hikal,Himatsingka Seide,Hindalco Inds.,Hindustan Construction,Hindustan Unilever,Hindustan Zinc,Honda Motor Co. (Japan),Honeywell Automation,HPCL,HSIL,HT Media,ICICI Bank Ltd,ICICI Prudential Life Insurance Co. Ltd.,ICRA,IDFC,IDFC Bank,IFB Inds.,Igarashi Motors India,IIFL Holdings,ILandFS Investment Managers,ILandFS Transportation Networks,Indbazaar. com,India Cements,Indiabulls Housing Finance,Indian Bank,Indian Hotels,Indian Hume Pipe Co.,Indian Metals and Ferro Alloys,Indian Oil Corp.,Indian Terrain Fashions,Indo Count Inds.,Indoco Remedies,Indraprastha Gas,Indraprastha Medical Corp.,Indusind Bank,Info Edge (India),Infosys,Ingersoll Rand India,INOX Leisure,Inox Wind,Insecticides (India) Ltd,Interglobe Aviation,International Business Machines,Ipca Laboratories,IRB Infrastructure Dev,ISGEC Heavy Engineering,ITC,ITD Cementation India,J Kumar Infraprojects,Jagran Prakashan,Jai Prakash Associates,Jamna Auto Inds.,JandK Bank,JB Chemicals and Pharma,Jet Airways India,Jindal Saw,Jindal Stainless,Jindal Stainless (Hisar),JK Cement,JK Lakshmi Cement,JK Tyre and Industries,JM Financial,JSW Energy,Jubilant FoodWorks,Jyothy Laboratories,Kajaria Ceramics,Kalpataru Power Trans,Kalyani Steels,Kansai Nerolac Paints,Karnataka Bank,Karur Vysya Bank,Kaveri Seed Company,KCP,KEC International,Kei Industries,Kennametal India,Kewal Kiran Clothing,Kirloskar Pneumatic Co.,KNR Constructions,Kotak Gold Exchange Traded,Kotak Mahindra Bank,KPIT Technologies,KPR Mills,KSB Pumps,KSK Energy Ventures,Lakshmi Machine Works Ltd,LandT Finance Holdings,LandT Infotech,Larsen and Toubro,Laurus Labs,LG Balakrishnan and Bros.,LIC Housing Fin.,Linde India,Lloyd Electric and Eng,Lupin,Mahanagar Gas,Maharashtra Scooters,Maharashtra Seamless,Mahindra and Mahindra,Mahindra CIE Automotive,Mahindra Holidays and Resorts In,Mahle-Metal Leve,Majesco,MakeMy Trip,Manappuram Finance,MandM Financial Services,Manpasand Beverages,Marico,Maruti Suzuki India,Mastek,Max Financial Services,Max India,Mayur Uniquoters,Mazda,Medytox Inc.,Merck,Minda Corporation,Minda Industries,MindTree,Mirae Asset Asia Great Consumer Equity,MM Forgings,Mold-Tek Packaging,Monsanto (USA),Monsanto India,Motherson Sumi Systems,Motilal Oswal Financial,Mphasis,MRF,MRPL,MT Educare,Multi Commodity Exchange India,Muthoot Finance,Narayana Hrudayalaya,Natco Pharma,National Aluminium,Navin Fluorine International,Navkar Corporation,Navneet Education Ltd,NBCC Ltd.,NCC,NCL Industries,Nesco,Nestle India,Network 18 Media and Inv,Neuland Laboratories,NHPC,NIFTY IT 2017,NIIT,NIIT Technologies,Nilkamal,NMDC,Norfolk Southern Corporation,Novatek Microelectronics Corporation (Taiwan),NRB Bearings,NTPC,Nucleus Software Exports,OCL India,Oil India,ONGC,Oracle Fin Ser Software,Orient Cement,Orient Paper and Inds.,Orient Refractories Ltd.,Oriental Bank of Com.,Oriental Carbon and Chemicals,Page Industries,PandG Hygiene and Health Care,Pennar Engineered Building Systems,Persistent Systems,Petronet LNG,Pfizer,Phoenix Lamps,Phoenix Mills,PI Industries,Pidilite Industries,Piramal Enterprises,PNB Housing Finance,PNC Infratech,Polaris Industries Inc.,Power Finance Corp.,Power Grid Corp.,Power Mech Projects,Praj Industries,Precision Camshafts,Prestige Estates Projects,Procter and Gamble Hygiene and Health Care Ltd,PTC India,PTC India Financial Services,Punjab National Bank,PVR,R*Shares Gold BeES,Radico Khaitan,Rain Industries,Rajratan Global Wire,Rallis India,Ramco Industries,Ramkrishna Forgings,Rane Holdings,Ratnamani Metals and Tubes,Raymond,RBL Bank,Redington India,Relaxo Footwears,Reliance Capital,Reliance Industries,Reliance Infrastructure,Reliance Power,Repco Home Finance Ltd,Repro India Ltd,Rural Electrification,Sadbhav Engineering,SAIL,Salesforce Com.,Salzer Electronics,Sanghvi Movers,Sanofi India,Sarla Performance Fibers,Savita Oil Technologies,Sequent Scientific,Shanthi Gears,Sharda Cropchem,Sheela Foam,Shemaroo Entertainment,Shilpa Medicare,Shopper`s Stop,Shree Cement,Shriram City Union Finance,Shriram Transport Finance Co Ltd,Siemens,Sintex Industries,SIP Technologies and Exports,SJVN,Skechers,SKF India,Skipper,Solar Industries,Somany Ceramics,Sonata Software,South Indian Bank,Spicejet,SQS India BFSI,SREI Infrastructure Finance,SRF,Standard Chartered PLC (UK),Starbucks Corporation (USA),State Bank of Bikaner,State Bank of India,State Street Corp (US),Sterling Tools,Sterlite Technologies,Stock Spirits Group PLC,Strides Arcolab Ltd,Strides Shasun,Subros,Sun Pharma Adv. Research,Sun Pharmaceutical Inds.,Sun TV Network,Sundaram Finance,Sundaram-Clayton,Sundram Fasteners,Suprajit Eng,Supreme Industries,Supreme Petrochem,Suven Life Sciences,Swaraj Engines,Swiss Glascoat Equipments,Symphony,Syngene International,Take Solutions,Talwalkars Better Value Fitness,Tamil Nadu Newsprint,Taro Pharma. Ind. ORD SHS,Tata Chemicals,Tata Communications,Tata Consultancy Services,Tata Elxsi,Tata Global Beverages,Tata Investment Corp.,Tata Motors,Tata Motors DVR,Tata Power,Tata Steel,TD Power Systems,TeamLease Services,Tech Mahindra,Techno Electric and Engg,Technocraft Industries,Texmaco Rail and Engineering,Thangamayil Jewellery,The Ramco Cements,The Walt Disney Company,Thermax,Thomas Cook (India),Thyrocare Technologies,Time Warner Inc,Timken India,Titan Company,Torrent Pharmaceuticals,Torrent Power,Travelsky Technology (HongKong),Trent,Triton Valves,Triveni Engineering,Triveni Turbine,TTK Prestige,Tube Investments,TV Today,TV18 Broadcast,TVS Motor Co.,TVS Srichakra,U.S. Bancorp,UFLEX,UFO Moviez,Ujjivan Financial Services,Ultratech Cement,Unichem Laboratories,Union Bank of India,United Breweries,United Parcel Services INC,United Spirits,United Technologies (US),UPL,UTI Gold Exchange Traded Fund,VA Tech Wabag,Vardhman Textiles,Varun Beverages,Vedanta,Vesuvius India,V-Guard Industries,Vinati Organics,Vindhya Telelinks,VIP Industries,Visa Inc,V-Mart Retail,Voltamp Transformers,Voltas,VRL Logistics,VST Industries,VST Tillers Tractors,Wabco India,Walchandnagar Industries,Wells Fargo,Welspun India,Westlife Development,Wheels India,Whirlpool,Wim Plast,Wipro,Wonderla Holidays,Yes Bank,Zee Entertainment Ent.,Zensar Technologies,Zydus Wellness
Baroda Pioneer - Banking and Financial Services (G) As On 31-01-2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0186,0,0,0,0.0155,0,0,0,0,0.0264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0913,0,0,0.0264,0.0269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0285,0,0,0,0,0,0,0,0,0,0,0.0928,0,0,0,0,0,0.0136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0059,0.0244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0099,0,0,0,0,0,0,0,0,0.0213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0948,0,0,0
Baroda Pioneer - Growth Fund (G) As On 31-01-2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0202,0,0,0,0,0,0.0212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0256,0,0,0,0,0,0,0,0,0,0.0208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0236,0,0,0,0,0,0,0,0,0,0,0.0222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0417,0,0.0383,0,0,0,0,0,0,0,0,0.0308,0,0,0,0,0,0.0211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0297,0,0,0,0,0,0.0237,0,0.0477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0268,0,0,0,0,0,0,0,0,0,0.0327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0207,0,0,0,0.0353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0216,0,0,0,0,0.0269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0257,0,0,0
Baroda Pioneer - Trigger Fund Sr 1 Plan A (G) As On 31-01-2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0285,0,0,0,0,0,0,0,0,0,0.0198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0323,0,0,0,0,0,0.023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0221,0,0,0,0,0,0,0.0297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0235,0,0,0,0,0,0,0.0389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0201,0.0275,0,0,0,0,0.0204,0,0,0,0,0,0,0.0295,0,0,0,0.0268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0215,0,0,0,0.0395,0,0,0
Baroda Pioneer - Trigger Fund Sr 1 Plan B (G) As On 31-01-2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0285,0,0,0,0,0,0,0,0,0,0.0198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0323,0,0,0,0,0,0.023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0221,0,0,0,0,0,0,0.0297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0235,0,0,0,0,0,0,0.0389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0201,0.0275,0,0,0,0,0.0204,0,0,0,0,0,0,0.0295,0,0,0,0.0268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0215,0,0,0,0.0395,0,0,0
Birla SL - Dividend Yield Plus Reg (G) As On 31-01-2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0157,0,0,0,0.0222,0,0,0,0,0,0,0.022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0288,0,0,0.0451,0,0,0.0577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0257,0,0,0,0,0.0205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0236,0.0272,0,0,0,0,0,0.0171,0,0,0,0.0202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0323,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0189,0,0,0,0,0,0,0,0,0,0,0,0.0222,0,0,0,0,0,0,0,0,0,0,0,0,0.0161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Birla SL - Emerging Leaders Fund Sr 3 Reg (G) As On 31-01-2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0201,0,0.0198,0,0,0.0258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0184,0,0,0,0,0,0,0,0.0233,0,0,0,0,0,0,0,0,0,0,0.0177,0,0,0,0,0,0,0,0,0,0,0,0.0342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0395,0,0,0.0204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0478,0,0,0,0.0391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0292,0,0,0,0.0443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0197,0,0,0,0,0,0,0.0207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0391,0,0,0,0,0.022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
